Category,Difficulty,Question,Retrieved Chunk IDs,Relevant Chunk IDs,# Relevant in Top 5,Total Relevant Chunks,Recall @ 5,Precision @ 5,HitRate @ 5
Transfer Credit,Easy,Do transfer credits count toward degree requirements?,"5TmvVp0BJUUhSPYmDy1Q, eDmvVp0BJUUhSPYmDy1Q, dzmvVp0BJUUhSPYmDy1Q, ozmvVp0BJUUhSPYmEi5F, mDmvVp0BJUUhSPYmEi5F","5TmvVp0BJUUhSPYmDy1Q, eDmvVp0BJUUhSPYmDy1Q, dzmvVp0BJUUhSPYmDy1Q",3,3,1.0,0.6,1
Transfer Credit,Easy,Who approves transfer credits?,"5TmvVp0BJUUhSPYmDy1Q, djmvVp0BJUUhSPYmDy1Q, dzmvVp0BJUUhSPYmDy1Q, eDmvVp0BJUUhSPYmDyxO, eDmvVp0BJUUhSPYmDy1Q","5TmvVp0BJUUhSPYmDy1Q, djmvVp0BJUUhSPYmDy1Q, dzmvVp0BJUUhSPYmDy1Q, eDmvVp0BJUUhSPYmDyxO",4,4,1.0,0.8,1
Transfer Credit,Normal,What is the maximum number of transfer credits allowed for a master's program?,"dzmvVp0BJUUhSPYmDy1Q, eDmvVp0BJUUhSPYmDy1Q, 5TmvVp0BJUUhSPYmDy1Q, djmvVp0BJUUhSPYmDy1Q, 2jmvVp0BJUUhSPYmDy1Q","dzmvVp0BJUUhSPYmDy1Q, 5TmvVp0BJUUhSPYmDy1Q",2,2,1.0,0.4,1
Transfer Credit,Normal,Do transfer credits affect GPA calculations?,"eDmvVp0BJUUhSPYmDy1Q, 5TmvVp0BJUUhSPYmDy1Q, djmvVp0BJUUhSPYmDy1Q, dzmvVp0BJUUhSPYmDy1Q, WzmvVp0BJUUhSPYmEi5F",eDmvVp0BJUUhSPYmDy1Q,1,1,1.0,0.2,1
Transfer Credit,Normal,When should transfer credits be submitted?,"5TmvVp0BJUUhSPYmDy1Q, djmvVp0BJUUhSPYmDy1Q, eDmvVp0BJUUhSPYmDy1Q, 7jmvVp0BJUUhSPYmDy1Q, dzmvVp0BJUUhSPYmDy1Q","5TmvVp0BJUUhSPYmDy1Q, dzmvVp0BJUUhSPYmDy1Q",2,2,1.0,0.4,1
Transfer Credit,Hard,"I transferred 6 credits into a master's program — how many more transfer credits can I bring in, and could this affect my graduation date?","eDmvVp0BJUUhSPYmDy1Q, dzmvVp0BJUUhSPYmDy1Q, 5TmvVp0BJUUhSPYmDy1Q, djmvVp0BJUUhSPYmDy1Q, TTmvVp0BJUUhSPYmDy1P","eDmvVp0BJUUhSPYmDy1Q, 5TmvVp0BJUUhSPYmDy1Q",2,2,1.0,0.4,1
Transfer Credit,Hard,"If I transfer the maximum allowed credits, could I graduate earlier?","5TmvVp0BJUUhSPYmDy1Q, eDmvVp0BJUUhSPYmDy1Q, dzmvVp0BJUUhSPYmDy1Q, djmvVp0BJUUhSPYmDy1Q, rjmvVp0BJUUhSPYmEi5F","5TmvVp0BJUUhSPYmDy1Q, eDmvVp0BJUUhSPYmDy1Q",2,2,1.0,0.4,1
Transfer Credit,Hard,Can transfer credits from another graduate program be applied to my degree?,"5TmvVp0BJUUhSPYmDy1Q, eDmvVp0BJUUhSPYmDy1Q, dzmvVp0BJUUhSPYmDy1Q, 7jmvVp0BJUUhSPYmDy1Q, azmvVp0BJUUhSPYmDy1Q","5TmvVp0BJUUhSPYmDy1Q, eDmvVp0BJUUhSPYmDy1Q, dzmvVp0BJUUhSPYmDy1Q",3,3,1.0,0.6,1
Multi-topic,Easy,"If I take 9 credits as a graduate student, am I considered full-time?","TTmvVp0BJUUhSPYmDy1P, sDmvVp0BJUUhSPYmEi5F, nDmvVp0BJUUhSPYmEi5F, 5TmvVp0BJUUhSPYmDy1Q, rzmvVp0BJUUhSPYmEi5F",TTmvVp0BJUUhSPYmDy1P,1,1,1.0,0.2,1
Multi-topic,Easy,"If I take 12 credits as an undergraduate student, am I considered full-time?","nDmvVp0BJUUhSPYmEi5F, TTmvVp0BJUUhSPYmDy1P, sDmvVp0BJUUhSPYmEi5F, 2zmvVp0BJUUhSPYmDy1Q, WzmvVp0BJUUhSPYmDy1P","nDmvVp0BJUUhSPYmEi5F, sDmvVp0BJUUhSPYmEi5F",2,2,1.0,0.4,1
Multi-topic,Easy,What happens if I drop a course before the add/drop deadline?,"ljmvVp0BJUUhSPYmEi5F, XDmvVp0BJUUhSPYmDy1P, YDmvVp0BJUUhSPYmEi5F, XTmvVp0BJUUhSPYmEi5F, sjmvVp0BJUUhSPYmEi5F","ljmvVp0BJUUhSPYmEi5F, XDmvVp0BJUUhSPYmDy1P, YDmvVp0BJUUhSPYmEi5F",3,3,1.0,0.6,1
Multi-topic,Normal,I'm a graduate student taking 8 credits — am I full-time and will it affect my tuition?,"SnBtRp0BDGILqFZHmuVU, SXBtRp0BDGILqFZHmuVT, enBtRp0BDGILqFZHmuVU, fHBtRp0BDGILqFZHmuVU, e3BtRp0BDGILqFZHmuVU","SnBtRp0BDGILqFZHmuVU, SXBtRp0BDGILqFZHmuVT",2,2,1.0,0.4,1
Multi-topic,Normal,"If I drop a course after the add/drop deadline, will it appear on my transcript?","XDmvVp0BJUUhSPYmDy1P, YDmvVp0BJUUhSPYmEi5F, ljmvVp0BJUUhSPYmEi5F, mTmvVp0BJUUhSPYmEi5F, XTmvVp0BJUUhSPYmEi5F","XDmvVp0BJUUhSPYmDy1P, mTmvVp0BJUUhSPYmEi5F",2,2,1.0,0.4,1
Multi-topic,Normal,"If I withdraw from a course, does it affect my GPA?","YTmvVp0BJUUhSPYmEi5F, mDmvVp0BJUUhSPYmEi5F, lzmvVp0BJUUhSPYmEi5F, mTmvVp0BJUUhSPYmEi5F, ljmvVp0BJUUhSPYmEi5F","YTmvVp0BJUUhSPYmEi5F, mDmvVp0BJUUhSPYmEi5F, mTmvVp0BJUUhSPYmEi5F",3,3,1.0,0.6,1
Multi-topic,Hard,"I'm an F-1 grad student taking 9 credits in Spring 2026 — am I full-time, and what happens to my visa status if I drop one 3-credit course after the add/drop deadline?","3aHgWp0B2_Gg63tSg_Ie, 3qHgWp0B2_Gg63tSg_Ie, 3KHgWp0B2_Gg63tSg_Ie, 4aHgWp0B2_Gg63tSg_Ie, _qHgWp0B2_Gg63tSg_If","3aHgWp0B2_Gg63tSg_Ie, TTmvVp0BJUUhSPYmDy1P, sDmvVp0BJUUhSPYmEi5F",1,3,0.3333,0.2,1
Multi-topic,Hard,"I'm an undergraduate student with 12 credits — if I drop a 3-credit course after the add/drop deadline, am I still full-time and will I get a tuition refund?","XDmvVp0BJUUhSPYmDy1P, XTmvVp0BJUUhSPYmEi5F, ljmvVp0BJUUhSPYmEi5F, YDmvVp0BJUUhSPYmEi5F, 2DmvVp0BJUUhSPYmDy1Q",XDmvVp0BJUUhSPYmDy1P,1,1,1.0,0.2,1
Multi-topic,Hard,"If I withdraw from all my classes in Spring 2026 after the 4th week, do I get any tuition refund and what grade appears on my transcript?","-aHgWp0B2_Gg63tSg_If, _qHgWp0B2_Gg63tSg_If, _6HgWp0B2_Gg63tSg_If, 56HgWp0B2_Gg63tSg_If, N6HgWp0B2_Gg63tSg_Mf","-aHgWp0B2_Gg63tSg_If, XDmvVp0BJUUhSPYmEi5F, YTmvVp0BJUUhSPYmEi5F",1,3,0.3333,0.2,1
